Age,Commit message (Expand),Author,Files,Lines
2022-03-08,x86/hyperv: Output host build info as normal Windows version number,Michael Kelley,1,-4/+4
2022-03-08,arm64: Do not defer reserve_crashkernel() for platforms with no DMA memory zones,Vijay Balakrishna,2,-5/+63
2022-03-06,"Revert ""xfrm: state and policy should fail if XFRMA_IF_ID 0""",Kai Lueke,1,-18/+3
2022-02-25,x86/kvmclock: Fix Hyper-V Isolated VM's boot issue when vCPUs > 64,Dexuan Cui,1,-1/+1
2022-02-18,hv_utils: Add comment about max VMbus packet size in VSS driver,Michael Kelley,2,-2/+16
2022-02-16,cifs: fix confusing unneeded warning message on smb2.1 and earlier,Steve French,1,-5/+6
2022-02-13,smb3: fix snapshot mount option,Steve French,1,-2/+2
2022-02-10,user_events: Add documentation file,Beau Belgrave,2,-0/+217
2022-02-10,user_events: Add sample code for typical usage,Beau Belgrave,2,-0/+96
2022-02-10,user_events: Add self-test for validator boundaries,Beau Belgrave,1,-0/+65
2022-02-10,user_events: Add self-test for perf_event integration,Beau Belgrave,2,-1/+169
2022-02-10,user_events: Add self-test for dynamic_events integration,Beau Belgrave,2,-1/+131
2022-02-10,user_events: Add self-test for ftrace integration,Beau Belgrave,3,-0/+397
2022-02-10,user_events: Validate user payloads for size and null termination,Beau Belgrave,1,-14/+133
2022-02-10,user_events: Optimize writing events by only copying data once,Beau Belgrave,1,-30/+85
2022-02-10,user_events: Add basic perf and eBPF support,Beau Belgrave,1,-1/+71
2022-02-10,user_events: Handle matching arguments from dyn_events,Beau Belgrave,1,-1/+76
2022-02-10,user_events: Add print_fmt generation support for basic types,Beau Belgrave,1,-2/+113
2022-02-10,user_events: Add minimal support for trace_event into ftrace,Beau Belgrave,4,-0/+1318
2022-02-09,Netvsc: Call hv_unmap_memory() in the netvsc_device_remove(),Tianyu Lan,1,-8/+16
2022-02-08,cifs: mark sessions for reconnection in helper function,Shyam Prasad N,1,-5/+14
2022-02-08,cifs: call helper functions for marking channels for reconnect,Shyam Prasad N,4,-11/+6
2022-02-08,cifs: call cifs_reconnect when a connection is marked,Shyam Prasad N,1,-0/+1
2022-02-07,Drivers: hv: vmbus: Rework use of DMA_BIT_MASK(64),Michael Kelley,2,-2/+3
2022-02-06,[smb3] improve error message when mount options conflict with posix,Steve French,1,-1/+10
